GCF_000146165.2	Shewanella oneidensis MR-1
GCF_000014885.1	Shewanella piezotolerans WP3
GCF_000016065.1	Shewanella loihica PV-4
GCF_002075795.1	Shewanella japonica
GCF_000015245.1	Shewanella amazonensis SB2B
GCF_000019185.1	Shewanella halifaxensis HAW-EB4
GCF_002005305.1	Shewanella psychrophila
GCF_003957745.1	Shewanella khirikhana
GCF_000019525.1	Shewanella woodyi ATCC 51908
GCF_000018025.1	Shewanella sediminis HAW-EB3
GCF_000018285.1	Shewanella pealeana ATCC 700345
GCF_000091325.1	Shewanella violacea DSS12
GCF_000013765.1	Shewanella denitrificans OS217
GCF_007197555.1	Shewanella psychropiezotolerans
GCF_007004545.3	Shewanella eurypsychrophilus
GCF_007567505.1	Shewanella donghaensis
GCF_003855395.1	Shewanella livingstonensis
GCF_004295345.1	Shewanella maritima
GCF_019457635.1	Shewanella mangrovisoli
GCF_019457535.1	Shewanella halotolerans
GCF_006385555.1	Shewanella polaris
GCF_019457555.1	Shewanella spartinae
GCF_019457655.1	Shewanella rhizosphaerae
GCF_019457575.1	Shewanella alkalitolerans
GCF_019457615.1	Shewanella zhangzhouensis
GCF_019457495.1	Shewanella aegiceratis
GCF_020511155.1	Shewanella glacialimarina
GCF_019457595.1	Shewanella psychrotolerans
GCF_019457515.1	Shewanella mesophila
GCF_017354965.1	Shewanella sedimentimangrovi
GCF_016834455.1	Shewanella litorisediminis
GCF_017354945.1	Shewanella avicenniae
GCF_019457475.1	Shewanella acanthi
GCF_018223345.1	Shewanella yunxiaonensis
GCF_009730655.1	Shewanella algae
GCF_025402875.1	Shewanella putrefaciens
GCF_000178875.2	Shewanella baltica OS678
GCF_024971755.1	Shewanella xiamenensis
GCF_002215585.1	Shewanella marisflavi
GCF_000014705.1	Shewanella frigidimarina NCIMB 400
GCF_030848765.1	Shewanella oncorhynchi
GCF_019931735.1	Shewanella inventionis
GCF_019670705.1	Shewanella carassii
GCF_017354925.1	Shewanella cyperi
GCF_009183365.2	Shewanella algae
GCF_016406325.1	Shewanella putrefaciens
GCF_021560015.1	Shewanella vesiculosa
GCF_030252245.1	Shewanella goraebulensis
GCF_025449215.1	Shewanella seohaensis
GCF_017354985.1	Shewanella cyperi
GCF_018394335.1	Shewanella dokdonensis
GCF_017570325.1	Shewanella algae
GCF_019670625.1	Shewanella algae
GCF_003721455.1	Shewanella algae
GCF_014263185.1	Shewanella algae
GCF_017570045.1	Shewanella algae
GCF_026013945.1	Shewanella algae
GCF_019670645.1	Shewanella algae
GCF_019670685.1	Shewanella algae
GCF_019670605.1	Shewanella algae
GCF_017570225.1	Shewanella algae
GCF_030436035.1	Shewanella algae
GCF_019670585.1	Shewanella algae
GCF_019670665.1	Shewanella algae
GCF_019670525.1	Shewanella algae
GCF_017570125.1	Shewanella algae
GCF_019670545.1	Shewanella algae
GCF_014702225.1	Shewanella algae
GCF_025643615.1	Shewanella algae
GCF_009846595.1	Shewanella algae
GCF_009730575.1	Shewanella putrefaciens
GCF_016406305.1	Shewanella putrefaciens
GCF_017068195.1	Shewanella putrefaciens
GCF_019599125.1	Shewanella putrefaciens
GCF_003044255.1	Shewanella putrefaciens
GCF_024803605.1	Shewanella baltica
GCF_949794895.1	Shewanella baltica
GCF_900636855.1	Shewanella baltica
GCF_003030925.1	Shewanella baltica
GCF_003052765.1	Shewanella baltica
GCF_000018765.1	Shewanella baltica OS195
GCF_000215895.1	Shewanella baltica OS117
GCF_000017325.1	Shewanella baltica OS185
GCF_000021665.1	Shewanella baltica OS223
GCF_000015845.1	Shewanella baltica OS155
GCF_000147735.2	Shewanella baltica BA175
GCF_019973655.1	Shewanella xiamenensis
GCF_036326985.1	Shewanella xiamenensis
GCF_024972795.1	Shewanella xiamenensis
GCF_025998315.1	Shewanella xiamenensis
GCF_036326965.1	Shewanella xiamenensis
GCF_022453805.1	Shewanella xiamenensis
GCF_030012545.1	Shewanella xiamenensis
GCF_011106835.1	Shewanella chilikensis
GCF_007923045.3	Shewanella decolorationis
GCF_006494755.1	Shewanella marisflavi
GCF_036324485.1	Shewanella oncorhynchi
GCF_900476435.1	Shewanella benthica
GCF_009372175.1	Shewanella sp. YLB-09
GCF_000203935.1	Shewanella sp. ANA-3
GCF_000015185.1	Shewanella sp. W3-18-1
GCF_000014685.1	Shewanella sp. MR-4
GCF_027571385.1	Shewanella sp. MTB7
GCF_016757755.1	Shewanella sp. KX20019
GCF_002966515.1	Shewanella sp. WE21
GCF_013394145.1	Shewanella sp. Scap07
GCF_006385735.2	Shewanella sp. LC6
GCF_002209245.2	Shewanella sp. FDAARGOS_354
GCF_026802235.1	Shewanella sp. DAU305
GCF_002838165.1	Shewanella sp. Pdp11
GCF_014840975.1	Shewanella sp. WPAGA9
GCF_010092445.1	Shewanella sp. Arc9-LZ
GCF_019457435.1	Shewanella sp. FJAT-51649
GCF_002216875.1	Shewanella bicestrii
GCF_005234075.1	Shewanella sp. MEBiC00475
GCF_023159135.1	Shewanella sp. JNE7
GCF_023159095.1	Shewanella sp. JNE10-2
GCF_016859145.1	Shewanella sp. LZH-2
GCF_023159115.1	Shewanella sp. JNE2
GCF_019457455.1	Shewanella sp. FJAT-52076
GCF_024363255.1	Shewanella sp. NFH-SH190041
GCF_021513195.1	Shewanella sp. OMA3-2
GCF_006494715.1	Shewanella sp. SNU WT4
GCF_011765625.1	Shewanella aestuarii
GCF_963676895.1	uncultured Shewanella sp.
